x,y,z
6293.256611469862,-25.067838096389323,2533.7176111317276
6482.838433032053,544.0919262401123,1927.641297527656
6569.969220090294,1104.6538019826917,1291.1009046178317
6553.314605899281,1647.7660979844784,634.1643888817212
6433.176355655665,2164.858970029939,-32.78685364892635
6211.485202597137,2647.7782431043506,-699.221073296837
5891.768494804591,3088.9124234334904,-1354.6211195080505
5479.0932753319585,3481.3110209105166,-1988.6487624469205
4979.985762576288,3818.7924458114235,-2591.3059199757245
4402.328522881645,4096.0399059697675,-3153.0903915452654
3755.2369310821487,4308.683909478054,-3665.1437939013763
3048.916795240799,4453.37017138396,-4119.389513471926
2294.5052776697166,4527.811928848351,-4508.6586351785545
1503.8974739426203,4530.8258861058,-4826.801975743416
689.5612135142119,4462.351236708899,-5068.786540011724
-135.65718191660244,4323.4514443748885,-5230.774930166412
-958.7333048785731,4116.298703660431,-5310.18646876254
-1766.6682480570958,3844.141245892278,-5305.739045961706
-2546.6923119635594,3511.2539022615447,-5217.470967697125
-3286.4657423449466,3122.8725824121266,-5046.742362922079
-3974.273411578685,2685.1135705060306,-4796.216002322767
-4599.210407434565,2204.878778505491,-4469.817685110229
-5151.355586693016,1689.7483247353796,-4072.6766613353116
-5621.930291777073,1147.8620207622366,-3611.04687053753
-6003.439616679805,587.7915470214652,-3092.210088738608
-6289.793844040233,18.40527301386328,-2524.3623795184712
-6476.4079571362745,-551.2721732092077,-1916.4855353558253
-6560.277456472365,-1112.203363521653,-1278.205466402453
-6540.029076831497,-1655.4822503140722,-619.6397390420448
-6415.945402022151,-2172.4767187598704,48.76332034112056
-6189.962804578894,-2654.9671570720457,716.3913659931018
-5865.642588584407,-3095.278731130966,1372.6378960133409
-5448.115676669024,-3486.405134131968,2007.0724331086399
-4944.001647343243,-3822.1217100883146,2609.608186270208
-4361.303385802382,-4097.086020591112,3170.664379192087
-3709.2790496826588,-4306.924134363723,3681.3205084726465
-2998.2934606010663,-4448.301164821968,4133.459925948655
-2239.651402913778,-4518.974856912857,4519.900322621252
-1445.4156341729936,-4517.831324852091,4834.50892274268
-628.2126797417986,-4444.902360172404,5072.300470536895
198.97030898598177,-4301.3640573995235,5229.516402305322
1022.9942114594755,-4089.516835142301,5303.6839359310325
1830.778614144892,-3812.7472559326907,5293.654169964309
2609.5110033722667,-3475.4723616274578,5199.618657102885
3346.851031467226,-3083.067536012446,5023.104293469891
4031.126534785428,-2641.7791766440696,4766.946737394594
4651.518162217447,-2158.6236990798975,4435.242931700544
5198.2297045721925,-1641.2746047008293,4033.283644856071
5662.641491998659,-1097.9395156221804,3567.4672627466493
6037.444540691996,-537.2292151360193,3045.1963493645617
6316.753473704495,31.979170838693335,2474.7587475851838
6496.196605920975,600.6826563165164,1865.1952077555527
6572.981962639236,1159.8943236843672,1226.1557104733179
6545.938387696615,1700.7844912587989,567.746790082274
6415.531284356044,2214.818956791324,-99.62773271053629
6183.852914625033,2693.892226937678,-765.4301361653643
5854.5875555524835,3130.4537427044156,-1419.153799249184
5432.952170349246,3517.6252348923076,-2050.4873237834868
4925.613594656728,3849.307488851251,-2649.475318722032
4340.58356132202,4120.274961895525,-3206.6734561754447
3687.09318850905,4326.256877167472,-3713.2955049166094
2975.448834122688,4464.00361248025,-4161.350169623414
2216.8714727973356,4531.337409831926,-4543.765711403717
1423.3219786248133,4527.186649154515,-4854.500495742728
607.3148958394181,4451.603156842764,-5088.637806608347
-218.27655083607306,4305.762254126562,-5242.463478829761
-1040.4213164305506,4091.9454907708523,-5313.525133816973
-1846.1342722969644,3813.506254112104,-5300.672054903391
-2622.6797561183803,3474.8186900255214,-5204.075006539658
-3357.77184210794,3081.2106186917295,-5025.225584379741
-4039.7682485940195,2638.8813712418932,-4766.914978664726
-4657.854853728854,2154.805710339876,-4433.192338366965
-5202.217888760683,1636.6252249304243,-4029.303234833515
-5664.201023695597,1092.5288027925321,-3561.6090370405955
-6036.444753062429,531.1239799324292,-3037.4883212708487
-6313.005729768142,-38.69886120687329,-2465.221740693039
-6489.453981473673,-607.9073267378285,-1853.8620691046515
-6562.946274047796,-1167.470646826996,-1213.0914017910952
-6532.274256618832,-1708.5037996093974,-553.0677387067626
-6397.886427286255,-2222.409770852577,115.7366152902091
-6161.883391041161,-2701.017597720379,782.7022275740692
-5827.986333968357,-3136.713889449627,1437.2325598907903
-5401.479101363822,-3522.5656064461546,2068.9240249096706
-4889.1247321596375,-3852.432011822078,2667.7332403684204
-4299.057757642613,-4121.063884065366,3224.138671884911
-3640.6540083517616,-4324.1882934249215,3729.2939382009604
-2924.3800789453735,-4458.57749355446,4175.170189237848
-2161.624967052472,-4522.100758737745,4554.685155449197
-1364.516719974637,-4513.758299427837,4861.81670260251
-545.7271852248923,-4433.696707971318,5091.699003968004
281.73183848152667,-4283.2057148909025,5240.699755417272
1104.7176179823227,-4064.6963664107475,5306.477200658502
1910.1671706599236,-3781.6610585647936,5288.01609563445
2685.3061180342406,-3438.616175124407,5185.642114516307
3417.8522740139656,-3041.0283692125977,5001.014576251924
4096.210661901741,-2595.2257961401388,4737.097742064987
4709.65683968025,-2108.295842960955,4398.111293004174
5248.505649761596,-1587.9711048231948,3989.4609357504974
5704.26279021765,-1042.505526805131,3517.6503985113004
6069.756921897681,-480.5427610885015,2990.176362151212
6339.250371929951,89.02111742817078,2415.4081210539066
