x,y,z
-41292.93302831926,-10882.738163476723,2526.338613668384
-34293.01182068658,-25014.06200681272,1627.5693510437254
-22588.19838813081,-35726.38228632886,465.1387253683378
-7760.352535724862,-41463.0856981555,-800.9314298155243
8113.8575211305615,-41376.80083808847,-1988.4934832593976
22796.05346961959,-35471.64846072199,-2922.335930401872
34230.09546158515,-24579.800068214965,-3460.0871433662114
40820.749839950884,-10216.952836393928,-3510.709618300618
41633.99751523433,5622.97621544353,-3046.675158240191
36534.5338881786,20717.20575520469,-2111.7264550709233
26245.072927800014,32921.27209047639,-822.0777012119132
12265.961420336578,40516.52949974415,645.3389593332292
-3381.2753567352074,42501.781000237745,2080.628309979972
-18517.349927857864,38716.327723116105,3277.30535064206
-31137.43724787832,29777.03492859882,4063.986186528354
-39630.48408996195,16917.215413742662,4324.345395783505
-42904.96514309564,1815.9522770985977,4007.6602607458135
-40481.62397409857,-13560.499100353012,3135.193223374603
-32581.799779481873,-27141.72558401712,1803.643153804871
-20180.690991263473,-37002.79465474408,181.37439675179303
-4952.14710015397,-41673.328582705515,-1509.095522189345
10950.302073284125,-40425.18516119444,-3024.273202502109
25247.465754154822,-33424.224710808674,-4140.9426395314895
35913.996188597965,-21688.925685949194,-4692.387265967002
41473.85529495624,-6895.838274450475,-4590.581156942026
41176.268278541145,8882.1102040435,-3834.722813953369
35075.44120406068,23450.39270723347,-2511.0460491801123
24034.188079293985,34777.733007469564,-786.0384603957004
9626.01412964327,41291.29924719141,1110.650915168051
-6099.250116977892,42131.00346931095,2917.5702217117473
-20957.514004973662,37269.07165090769,4382.725660715179
-32969.49679267475,27455.12294995629,5301.847112568007
-40597.3466047289,14041.535807245862,5543.082507280365
-42870.0053120803,-1213.7733120093835,5058.596189988487
-39451.41875145335,-16326.483722630222,3889.1969693124324
-30697.477330008995,-29267.483487204023,2165.8681743309835
-17688.633885066534,-38193.73816311184,104.52365084156645
-2174.783605053155,-41739.68049012145,-2014.0651794835858
13637.11931849982,-39303.0295059964,-3884.370468511527
27447.598251331405,-31206.590148764655,-5229.760065354756
37272.66804054389,-18645.894138801115,-5851.619013185198
