x,y,z
3242.316948256321,4622.043498829222,-4244.413135636193
2510.005473008775,4708.41900613137,-4639.179210433192
1742.4042179741837,4729.039115882927,-4969.250870252605
950.3005987600633,4683.796972329781,-5230.2085154197575
144.7604224711112,4573.502810439873,-5418.619895476191
-663.0288023217688,4399.863406235814,-5532.077840842782
-1461.913592109584,4165.449414409506,-5569.223107663101
-2240.927109251285,3873.651395278287,-5529.752443937311
-2989.4366851264435,3528.6254536280835,-5414.412189114606
-3697.2844236038663,3135.2295109052184,-5224.977905345149
-4354.919245025528,2698.9513014809177,-4964.220694024038
-4953.5189181925725,2225.8292342443433,-4635.860986275589
-5485.100818350721,1722.3672927542314,-4244.510710104073
-5942.620334873797,1195.445159577801,-3795.6048256619497
-6320.056033829898,652.224751748576,-3295.323293849046
-6612.480853329573,100.0543433462085,-2750.504599083032
-6816.118774890314,-453.6285676407399,-2168.551990297209
-6928.386570122874,-1001.3945165053753,-1557.3336357827973
-6947.920368128477,-1535.9183511692816,-925.0779099689538
-6874.586933010858,-2050.073464856375,-280.26504793349625
-6709.479674941297,-2537.022949447702,368.4835865633958
-6454.899548845613,-2990.306674225629,1012.5173664877708
-6114.321129288026,-3403.923336365278,1643.268143706452
-5692.344278126381,-3772.4065734665637,2252.3606129353802
-5194.631952135659,-4090.8942755307726,2831.720046912109
-4627.834836723393,-4355.190289959496,3373.676164233708
-3999.503625492978,-4561.81777294334,3871.0619097279555
-3317.9899051659286,-4708.063509246016,4317.305953811513
-2592.336749663862,-4792.012604521087,4706.517758227456
-1832.1602654834244,-4812.573043293776,5033.564107081184
-1047.5234690987295,-4769.48970751414,5294.136068814682
-248.80401137940135,-4663.347568799551,5484.805442891765
553.4426154946811,-4495.563892550107,5603.069846781018
1348.6226437618855,-4268.369431029168,5647.38572163408
2126.244533481189,-3984.7787338272983,5617.18868040232
2876.0585128563416,-3648.5498593013144,5512.90078176539
3588.1932150843522,-3264.1339327064957,5335.9244915990985
4253.287464894798,-2836.615162220298,5088.623289291993
4862.615295388893,-2371.6420837612313,4774.289078365363
5408.202341004602,-1875.3509611109494,4397.096773114582
5882.931855921353,-1354.2824112901171,3962.046645915902
6280.638749134473,-815.2924528674938,3474.89522924243
6596.19020576609,-265.4592826467072,2942.0757664177527
6825.551675105893,288.012829935485,2370.609389497712
6965.83724817268,837.8910841144752,1768.0083676174702
7015.343710753209,1377.011650782918,1142.1729066930527
6973.567837730306,1898.3756655503491,501.28308980821737
6841.2067867685755,2395.242274002168,-146.3123764993765
6620.141738345548,2861.2173545383785,-792.2089056360447
6313.405214454154,3290.336635204976,-1428.0585550991793
5925.1327799655355,3677.1420376847177,-2045.6806541589685
5460.500078806462,4016.750218709675,-2637.1689232857852
4925.646380811257,4304.912433766854,-3194.993569660661
4327.5860068028,4538.065015189582,-3712.0969670699983
3674.1091542090585,4713.369929713522,-4181.981674049125
2973.6737665801083,4828.745058002374,-4598.78970842369
