x,y,z,vv_x,vv_y,vv_z
8823.700605817428,227555.1764102274,131394.41358028675,-0.27240008566063595,0.14411497971284584,0.08290248914057721
7408.450033527419,228235.65338755446,131785.7140431099,-0.2730312865630739,0.11817623969362787,0.06792509163934657
5990.3846535148705,228781.87756501487,132099.4945874314,-0.27348549836009844,0.09236720911053904,0.05302241378327199
4570.414933729039,229194.44890453716,132336.1006353808,-0.27376566544717473,0.0666597967358489,0.038178200878591306
3149.4379956737994,229473.82377037633,132495.79451140887,-0.2738740102639171,0.04102652611002186,0.02337655218240832
1728.3412451883796,229620.3174310726,132578.75688208113,-0.2738120682858954,0.015440367155109713,0.008601823673655667
308.0058299946668,229634.10555213326,132585.0876136065,-0.2735807150941236,-0.010125425955998718,-0.00616146551329852
-1110.6900218551928,229515.22484173218,132514.80614081403,-0.2731801854778114,-0.035697473876124264,-0.020928724829324508
-2526.8677284972237,229263.5730117209,132367.85144129035,-0.272610084525957,-0.06130243130779589,-0.03571538406241126
-3939.645091607239,228878.90821624643,132144.0817083914,-0.27186939066336213,-0.08696714957637047,-0.05053698693768688
-5348.13299045197,228360.8481302694,131843.27381684064,-0.27095645058664847,-0.11271884575393004,-0.06540928840250484
-6751.431978506,227708.86883027758,131465.1226746271,-0.26986896605585475,-0.1385852815356095,-0.08034835743352114
-8148.628728501757,226922.30363948876,131009.24055491612,-0.2686039724971948,-0.16459495507002714,-0.09537068720269651
-9538.792266028524,226000.3370025039,130475.15356684933,-0.2671578192927996,-0.19077728770919453,-0.11049330218906797
-10920.971962258885,224941.9916836755,129862.2943024002,-0.26552613173420914,-0.21716279984092388,-0.1257338588995581
-12294.192575375455,223746.13195735458,129170.00366868815,-0.2637037554767886,-0.24378338479478567,-0.14111080286438418
-13657.448953308827,222411.4506973411,128397.52345463027,-0.26168470723560133,-0.2706725483398914,-0.1566435056933655
-15009.702459748998,220936.46215091724,127543.99219421577,-0.25946207750924605,-0.29786569770848637,-0.1723524305781382
-16349.876478295813,219319.49236341432,126608.43967773544,-0.25702792632822247,-0.32540045796715783,-0.18825931334822515
-17676.85090976137,217558.66691205383,125589.77991562586,-0.25437316356212236,-0.35331702609326254,-0.20438736509973626
-18989.4556188522,215651.89595267197,124486.80255853082,-0.2514874041527524,-0.3816585745229342,-0.2207615032298601
-20286.46278645833,213596.85658293628,123298.16277718308,-0.2483587886402985,-0.4104717159370173,-0.23740861771029698
-21566.578123776264,211390.9725256639,122022.36960570929,-0.24497375934964125,-0.4398070410512715,-0.25435787943278476
-22828.43090449374,209031.39113585034,120657.77275196042,-0.24131678260393005,-0.46971974117720944,-0.2716410974598774
-24070.56277126335,206514.95773501723,119202.54787847068,-0.237370007332525,-0.5002703273199135,-0.28929313201412654
-25291.415272692033,203838.18727648945,117654.68035764803,-0.23311285044041685,-0.5315254575791739,-0.30735237003881716
-26489.316087074523,200997.23334520892,116011.94750479833,-0.22852149930623097,-0.5635588846203183,-0.3258612701634196
-27662.463889097176,197987.85449569594,114271.89929258665,-0.22356832177592742,-0.5964525349810605,-0.34486698390690124
-28808.9059852431,194805.36635397357,112431.8308321462,-0.2182211535567144,-0.6302978646739371,-0.3644221368163105
-29926.49876971434,191444.5602256653,110488.73544285347,-0.21244234206862034,-0.6651978220487773,-0.38458596096061093
-31012.890098481952,187899.6670639871,108439.28409340164,-0.20618767406364147,-0.7012685292268881,-0.40542526383653577
-32065.4789848298,184164.27695902807,106279.77905601052,-0.19940496407569622,-0.7386418035385716,-0.42701588294541204
-33081.370192554714,180231.25035844484,104006.10281268093,-0.1920323208343315,-0.777468172673623,-0.44944442504838455
-34057.31719903018,176092.60934862544,101613.65546842606,-0.1839959701975623,-0.8179206395777178,-0.4728104376370804
-34989.652078661384,171739.40682766112,99097.27941509699,-0.1752074251512548,-0.8601994751856311,-0.4972291725293432
-35874.201322765904,167161.57232001124,96451.17052207998,-0.16555979340063134,-0.9045383086409567,-0.5228350966038489
